cluster,n_games,"('price', 'mean')","('price', 'median')","('reviews_total', 'mean')","('reviews_total', 'median')","('pos_share', 'mean')","('pos_share', 'median')","('playtime_hours', 'mean')","('playtime_hours', 'median')","('hours_per_dollar', 'mean')","('hours_per_dollar', 'median')","('game_age_yrs', 'mean')","('game_age_yrs', 'median')","('num_languages', 'mean')","('num_languages', 'median')","('flag_multiplayer', 'mean')","('flag_multiplayer', 'median')","('flag_coop', 'mean')","('flag_coop', 'median')"
0,35107,7.881734981623099,4.99,3221.2030649158287,46,0.9899363548222905,0.895698609417684,4.748031731563507,0.0,0.9649514611612192,0.0,7.415586635143988,7,4.0724641809325774,1,0.1607086905745293,0,0.08693422964081238,0
1,54352,6.975694730639815,3.99,234.10663821018545,11,0.6136485744380533,0.7619047619047619,0.09534270434697271,0.0,0.00995635118092487,0.0,2.2013173388283778,2,6.015951574919046,1,0.09105460700618193,0,0.0559133058581101,0
2,5489,0.06937147021315357,0.0,2428.7065039169247,0,0.0,0.0,0.0,0.0,0.0,0.0,1.8203680087447622,1,0.06722535981053016,0,0.0,0,0.0,0
